product_id,ProductType,Brand,Material,ProductTitle,Image,prompt_text,hit,rank,retrieved_ids
4481,CHAIR,Rivet,Metal,"Amazon Brand - Rivet Weedin Contemporary Upholstered Dining Chair - Set of 2, 20 x 23 x 33 Inches, Juniper Blue",B07HSF15K2.jpg,"a photo of a Amazon Brand - Rivet Weedin Contemporary Upholstered Dining Chair - Set of 2, 20 x 23 x 33 Inches, Juniper Blue",1,4,4497_img|5151_img|4923_img|5008_img|4481_img|4542_img|4523_img|5185_img|5534_img|4748_img|4912_img|4643_img|4714_img|5064_img|4693_img|5586_img|5204_img|4843_img|5268_img|4721_img
4482,HOME,UMI,Textura,UMI. by Amazon - Cortinas Termicas Aislantes Frio y Calor para Dormitorio Matrimonio Salon Hotel Casa Exterior con Ojales 2 Paneles 168 x 229 cm Negro,B07HSQKVXG.jpg,a photo of a UMI. by Amazon - Cortinas Termicas Aislantes Frio y Calor para Dormitorio Matrimonio Salon Hotel Casa Exterior con Ojales 2 Paneles 168 x 229 cm Negro,1,0,4482_img|5116_img|5200_img|5133_img|4530_img|4624_img|4782_img|4773_img|5268_img|5496_img|4672_img|4868_img|5488_img|5321_img|4899_img|5003_img|5439_img|4758_img|4630_img|5481_img
4483,FINERING,Amazon Collection,metal,"Platinum-Plated Sterling Silver Swarovski Zirconia Green Round-Cut Halo Pendant Necklace, 16""",B01IQU0CY4.jpg,"a photo of a Platinum-Plated Sterling Silver Swarovski Zirconia Green Round-Cut Halo Pendant Necklace, 16""",1,0,4483_img|4878_img|4959_img|5202_img|5473_img|4932_img|5395_img|4903_img|4989_img|4797_img|4547_img|4555_img|4699_img|5150_img|5512_img|4605_img|5237_img|4486_img|5243_img|5055_img
4484,KITCHEN,AmazonBasics,Lin,"AmazonBasics Tapis d'egouttoir - 41 x 48 cm - Beige, lot de 4",B07QKP8PCR.jpg,"a photo of a AmazonBasics Tapis d'egouttoir - 41 x 48 cm - Beige, lot de 4",1,2,4539_img|5168_img|4484_img|5219_img|5468_img|5492_img|4663_img|5153_img|5528_img|5550_img|5218_img|4688_img|5474_img|5010_img|4930_img|4957_img|4750_img|5407_img|4609_img|5124_img
4485,WALL_ART,Rivet,canvas,"Amazon Brand - Rivet Contemporary Print with Gold Leaf Wall Artwork Decor on Canvas - 18 x 24 Inch, Pink and Grey",B07HSGP5RL.jpg,"a photo of a Amazon Brand - Rivet Contemporary Print with Gold Leaf Wall Artwork Decor on Canvas - 18 x 24 Inch, Pink and Grey",1,9,4976_img|4615_img|4809_img|4731_img|5425_img|4551_img|4887_img|5129_img|5100_img|4485_img|5476_img|5443_img|4567_img|5330_img|5430_img|4521_img|4852_img|4985_img|5197_img|5388_img
4486,FINERING,Amazon Collection,metal,"Sterling Silver and 14k Yellow Gold Emerald Cut Created Emerald and Diamond Accent Art Deco-Style Ring, Size 7",B008BSPN46.jpg,"a photo of a Sterling Silver and 14k Yellow Gold Emerald Cut Created Emerald and Diamond Accent Art Deco-Style Ring, Size 7",1,0,4486_img|4822_img|4711_img|4932_img|4670_img|4863_img|5598_img|4787_img|5355_img|5131_img|5445_img|5554_img|5247_img|4618_img|4799_img|5435_img|4878_img|5293_img|4716_img|5576_img
4487,CHAIR,AmazonBasics,"Metal, plywood, PU, foam",AmazonBasics High-Back Executive Swivel Office Desk Chair with Ribbed Puresoft Upholstery - Grey (Renewed),B07W1NKTP8.jpg,a photo of a AmazonBasics High-Back Executive Swivel Office Desk Chair with Ribbed Puresoft Upholstery - Grey (Renewed),1,6,5123_img|4703_img|4968_img|4760_img|4657_img|4964_img|4487_img|4664_img|5031_img|4873_img|5009_img|5258_img|4823_img|5346_img|5166_img|5300_img|5068_img|5064_img|5241_img|4523_img
4488,KITCHEN,Amazon Brand - Solimo,Plastic,Amazon Brand - Solimo 1000-Watt Dry Iron (White and Turquoise),B0721K4S3J.jpg,a photo of a Amazon Brand - Solimo 1000-Watt Dry Iron (White and Turquoise),1,0,4488_img|5469_img|4989_img|5564_img|5502_img|4952_img|4572_img|5008_img|5232_img|4891_img|4605_img|5119_img|4618_img|5406_img|4579_img|4639_img|4958_img|5266_img|4831_img|5205_img
4489,KITCHEN,AmazonBasics,Others,(Renewed) AmazonBasics Stainless Steel Wire Whisk Set (3-Piece),B07WG46C6V.jpg,a photo of a (Renewed) AmazonBasics Stainless Steel Wire Whisk Set (3-Piece),1,0,4489_img|5020_img|4850_img|5470_img|4641_img|4671_img|4774_img|5088_img|5087_img|5440_img|5236_img|4924_img|5547_img|4748_img|5594_img|4524_img|5599_img|5030_img|4737_img|4758_img
4490,HOME,Eono,PPS,[Amazon] Eono() XP 8x42 | ! !,B08C9W2Q1W.jpg,a photo of a [Amazon] Eono() XP 8x42 | ! !,1,0,4490_img|4641_img|5060_img|4671_img|5245_img|5216_img|4644_img|4736_img|5124_img|4522_img|4800_img|5520_img|5599_img|5375_img|5006_img|5082_img|4837_img|5107_img|5543_img|4637_img
4491,KITCHEN,AmazonBasics,Others,(Renewed) AmazonBasics 18-Piece Dinnerware Set - Soft Lines,B07ZXM1B7M.jpg,a photo of a (Renewed) AmazonBasics 18-Piece Dinnerware Set - Soft Lines,1,2,5594_img|4780_img|4491_img|4538_img|5285_img|4781_img|4786_img|5102_img|5147_img|5235_img|4489_img|4843_img|4774_img|5191_img|4662_img|5030_img|5020_img|5513_img|5560_img|5011_img
4492,FINERING,Amazon Collection,Non applicable.,"Bague solitaire en argent sterling plaque platine ou or avec zircons Swarovski,Argent plaque or rose,Size 6",B07359D5M6.jpg,"a photo of a Bague solitaire en argent sterling plaque platine ou or avec zircons Swarovski,Argent plaque or rose,Size 6",1,8,4700_img|5557_img|4885_img|4627_img|5007_img|4897_img|4987_img|5160_img|4492_img|5402_img|5506_img|4683_img|5128_img|4849_img|4694_img|5179_img|5443_img|4857_img|4677_img|5212_img
