projection_mode,baseline,prompt,top_k,recall,mrr,ndcg
both,Linear Probe (text+vision),type,5,0.0348,0.0155,0.0203
both,Linear Probe (text+vision),material,5,0.0670,0.0303,0.0393
both,Linear Probe (text+vision),brand,5,0.1018,0.0494,0.0623
both,Linear Probe (text+vision),brand_material,5,0.1375,0.0702,0.0867
both,Linear Probe (text+vision),full,5,0.7875,0.5902,0.6397
both,Linear Probe (text+vision),type,10,0.0661,0.0195,0.0302
both,Linear Probe (text+vision),material,10,0.1134,0.0364,0.0543
both,Linear Probe (text+vision),brand,10,0.1777,0.0595,0.0867
both,Linear Probe (text+vision),brand_material,10,0.2188,0.0810,0.1130
both,Linear Probe (text+vision),full,10,0.8777,0.6025,0.6691
both,Linear Probe (text+vision),type,20,0.1223,0.0233,0.0442
both,Linear Probe (text+vision),material,20,0.1795,0.0409,0.0707
both,Linear Probe (text+vision),brand,20,0.2696,0.0658,0.1099
both,Linear Probe (text+vision),brand_material,20,0.3125,0.0873,0.1364
both,Linear Probe (text+vision),full,20,0.9384,0.6069,0.6847
text_only,Linear Probe (text only),type,5,0.0429,0.0190,0.0249
text_only,Linear Probe (text only),material,5,0.0777,0.0359,0.0461
text_only,Linear Probe (text only),brand,5,0.1089,0.0511,0.0653
text_only,Linear Probe (text only),brand_material,5,0.1402,0.0703,0.0874
text_only,Linear Probe (text only),full,5,0.7366,0.5136,0.5693
text_only,Linear Probe (text only),type,10,0.0884,0.0249,0.0394
text_only,Linear Probe (text only),material,10,0.1446,0.0444,0.0673
text_only,Linear Probe (text only),brand,10,0.1902,0.0618,0.0914
text_only,Linear Probe (text only),brand_material,10,0.2277,0.0818,0.1155
text_only,Linear Probe (text only),full,10,0.8500,0.5287,0.6060
text_only,Linear Probe (text only),type,20,0.1866,0.0315,0.0639
text_only,Linear Probe (text only),material,20,0.2580,0.0522,0.0960
text_only,Linear Probe (text only),brand,20,0.3205,0.0708,0.1243
text_only,Linear Probe (text only),brand_material,20,0.3571,0.0906,0.1479
text_only,Linear Probe (text only),full,20,0.9080,0.5330,0.6210
vision_only,Linear Probe (vision only),type,5,0.0411,0.0198,0.0250
vision_only,Linear Probe (vision only),material,5,0.0741,0.0349,0.0445
vision_only,Linear Probe (vision only),brand,5,0.0973,0.0447,0.0576
vision_only,Linear Probe (vision only),brand_material,5,0.1143,0.0586,0.0724
vision_only,Linear Probe (vision only),full,5,0.7438,0.5219,0.5770
vision_only,Linear Probe (vision only),type,10,0.0795,0.0246,0.0372
vision_only,Linear Probe (vision only),material,10,0.1268,0.0417,0.0613
vision_only,Linear Probe (vision only),brand,10,0.1634,0.0535,0.0789
vision_only,Linear Probe (vision only),brand_material,10,0.2152,0.0717,0.1047
vision_only,Linear Probe (vision only),full,10,0.8554,0.5371,0.6135
vision_only,Linear Probe (vision only),type,20,0.1625,0.0303,0.0580
vision_only,Linear Probe (vision only),material,20,0.2339,0.0488,0.0880
vision_only,Linear Probe (vision only),brand,20,0.2964,0.0626,0.1124
vision_only,Linear Probe (vision only),brand_material,20,0.3393,0.0802,0.1360
vision_only,Linear Probe (vision only),full,20,0.9205,0.5419,0.6303
