baseline,prompt,recall@5,mrr@5,ndcg@5
Original CLIP,type,0.0482,0.0220,0.0284
Original CLIP,material,0.0688,0.0333,0.0420
Original CLIP,brand,0.0527,0.0269,0.0332
Original CLIP,brand_material,0.0786,0.0359,0.0463
Original CLIP,full,0.5446,0.3601,0.4059
CLIP+Linear Probe,type,0.0366,0.0172,0.0219
CLIP+Linear Probe,material,0.0741,0.0316,0.0420
CLIP+Linear Probe,brand,0.1080,0.0530,0.0664
CLIP+Linear Probe,brand_material,0.1357,0.0683,0.0849
CLIP+Linear Probe,full,0.8000,0.5970,0.6478
CLIP+LoRA,type,0.0446,0.0215,0.0272
CLIP+LoRA,material,0.0866,0.0431,0.0538
CLIP+LoRA,brand,0.0893,0.0447,0.0556
CLIP+LoRA,brand_material,0.1214,0.0670,0.0805
CLIP+LoRA,full,0.8339,0.6457,0.6929
