ProductId,ItemId,Brand,Category,ProductType,Colour,Material,ProductTitle,Image,ImageURL,MainImageId
1,B07H9T7L7S,UMI,Home,HOME,Rose,100 % coton,Umi. Essentials 100% cotton Yarn Dyed Duvet Cover Set-155x200+1x80x80cm,B07H9T7L7S.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/96/96d8703a.jpg,61zZfVMhbwL
2,B00FXW6YN2,Amazon Collection,Finering,FINERING,Platinum Plated Silver,metal,"Platinum-Plated Sterling Silver Solitaire Ring set with Round Swarovski Zirconia (1 cttw), Size 7",B00FXW6YN2.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/16/162121f8.jpg,61hBpCoTuvL
3,B07R3CZMB4,Movian,Chair,CHAIR,blauw,Schaumstoff,AmazonBasics 78 x 82 x 58 cm Bed Chair - Blue,B07R3CZMB4.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/74/74e3daf5.jpg,61ea7WXYsIL
4,B00UYGOKQU,Amazon Collection,Fineearring,FINEEARRING,Blue,metal,Sterling Silver Cushion-Cut Checkerboard Created Blue Sapphire Stud Earrings (6mm),B00UYGOKQU.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/04/047f2f12.jpg,61EnJDoCFkL
5,B073P5QKLW,Stone & Beam,Wall Art,WALL_ART,Black,wood,"Amazon Brand - Stone & Beam Modern Black and White Print Wall Art of Forest Snow, Grey Frame, 20"" x 20""",B073P5QKLW.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/4e/4e6cff08.jpg,A1y8Z3c2qOL
6,B00MGSFGC6,Pinzon by Amazon,Home Bed And Bath,HOME_BED_AND_BATH,Blue,BOMULL,"Pinzon fran Amazon dra-pa-lakan, 100% bomull, bla",B00MGSFGC6.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/cd/cdefa595.jpg,81duX-6eMDL
7,B081FGV61K,Amazon Brand - Solimo,Home,HOME,Beige and Brown,Fabric,"Amazon Brand - Solimo Fabric Storage Box with Lid, Large, Beige and Brown",B081FGV61K.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/c1/c168a814.jpg,71+bPKLuvwL
8,B07R3TWDTT,Movian,Sofa,SOFA,Blu,Tela,"Marchio Amazon - Movian Keitele - Divano a 2 posti, 130 x 82 x 84 cm, blu",B07R3TWDTT.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/21/216acb8f.jpg,81MBfiPcEDL
9,B002DYJ2TQ,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Unknown Color,925 Sterling Silver,"Sterling Silver Extra-Large Engraved Oval Locket Necklace, 22""",B002DYJ2TQ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/52/52136e09.jpg,81dYlm8XPbL
10,B07BMQ4HVR,Stone & Beam,Home Bed And Bath,HOME_BED_AND_BATH,Natural,Acrylic,"Amazon Brand - Stone & Beam Striped Throw Blanket, Soft and Easy Care, 80"" x 60"", Fringed, Natural",B07BMQ4HVR.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/17/17dad3fd.jpg,910vM3h8k5L
11,B0013TQ1FK,Pinzon by Amazon,Home,HOME,Color marron claro,franela,"Pinzon Juego de Sabanas de Franela Resistente, de 160 g, tamano Twin, Color marron Claro",B0013TQ1FK.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/40/4035bdfa.jpg,91Tv01pGpkS
12,B0844421VQ,AmazonBasics,Kitchen,KITCHEN,Unknown Color,Silicone,"AmazonBasics Silicone Round Cake Pan, 23 cm, Red",B0844421VQ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/95/955840eb.jpg,61nF0955hFL
13,B072PXBV88,Rivet,Rug,RUG,Charcoal,"Pile: 100% Polypropylene, Backing: 100% Jute","Amazon Brand - Rivet Charcoal Distressed Medallion Area Rug, 5 x 7 Foot",B072PXBV88.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/cf/cf0543ae.jpg,A1VcwwVirpL
14,B0853XKY3N,Amazon Brand - Solimo,Cellular Phone Case,CELLULAR_PHONE_CASE,Multicolor,Silicon,Amazon Brand - Solimo Designer Babby Kitty UV Printed Soft Back Case Mobile Cover for Lava A77,B0853XKY3N.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/85/858a3ec2.jpg,619F7xHkZmL
15,B07HSMPSSK,Stone & Beam,Rug,RUG,Navy,Polypropylene,"Amazon Brand - Stone & Beam Polypropylene Rug, 5'3"" x 7'3"", Navy",B07HSMPSSK.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/1b/1b8771d4.jpg,A1uBUhxdUGL
16,B07DBDN79B,Ravenna Home,Chair,CHAIR,Light Grey,Textile,"Amazon Brand - Ravenna Home Jase Slope Tufted Accent Chair, 29.9""W, Light Grey",B07DBDN79B.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/35/35bc14eb.jpg,91GVZjHuWrL
17,B06VYH281Q,Amazon Collection,Finering,FINERING,Clear,rhinestone;,Platinum Plated Sterling Silver Swarovski Zirconia Round Cut 5 -Stone Ring,B06VYH281Q.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/13/1318e1e1.jpg,617xpjE9C+L
18,B0735931GJ,Amazon Collection,Finering,FINERING,Yellow Gold,No aplica,"Amazon CollectionYellow Gold-Plated Sterling Silver Swarovski Zirconia Round 3 Stone Ring, Size 8",B0735931GJ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/a4/a4607e54.jpg,71wLOqLb0+L
19,B073P1KFKS,Stone & Beam,Wall Art,WALL_ART,Multicolor,canvas,"Amazon Brand - Stone & Beam Contemporary Blue and Tan Moroccan Print Wall Art on Canvas, 12"" x 12""",B073P1KFKS.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/40/4032d690.jpg,91xTQOul-oL
20,B00MCK2SQ0,Amazon Collection,Finering,FINERING,Tri-Tone Silver,rhodium-plated-gold-and-silver,"Tri-Tone Sterling Silver Cubic Zirconia All-Around Band Stacking Ring Set (Set of 3), Size 8",B00MCK2SQ0.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/63/63c83d4a.jpg,81pdcTfl2AL
21,B073P5KYFY,Rivet,Wall Art,WALL_ART,Multi,Cotton,"Amazon Brand - Rivet Arizona Desert Sand Horizon Photo with Wood Hanger, 30"" x 40""",B073P5KYFY.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/54/540e2795.jpg,91Dx0mnjA5L
22,B0856G288H,AmazonBasics,Chair,CHAIR,Light Grey05,Plastic,"AmazonBasics Armless Slot-Back Dining Chair - Set of 2, Light Grey, Premium Plastic",B0856G288H.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/75/751b3b84.jpg,518sQLbvM3L
23,B00NFSDR40,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Yellow-gold-plated,metal,Amazon CollectionYellow-Gold-Plated Sterling Silver Swarovski Zirconia Princess Tennis Bracelet,B00NFSDR40.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/2f/2f8e4fba.jpg,81XN3xO+05L
24,B07P8STHQ1,Stone & Beam,Sofa,SOFA,Cognac,Polyester,"Amazon Brand - Stone & Beam Lauren Down-Filled Oversized Leather Loveseat with Hardwood Frame, 74""W, Cognac",B07P8STHQ1.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/6f/6fb7ae86.jpg,71gHeDCwdeL
25,B07QYMTF34,Amazon Brand - Solimo,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Brown,Plastic,"Amazon Brand - Solimo 2-Door Foldable Wardrobe, 8 Racks, Brown",B07QYMTF34.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/39/39ec816a.jpg,91d5az8Jk9L
26,B07B4WGZ7W,Rivet,Rug,RUG,Aquamarine,jute,"Amazon Brand - Rivet Contemporary Striated Jute Area Rug, 7' 5"" x 5' 3"", Aquamarine",B07B4WGZ7W.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/83/83f19766.jpg,A1o3N1zV0dL
27,B081FHW8P7,Amazon Brand - Solimo,Home,HOME,Dark Grey,Fabric,"Amazon Brand - Solimo Fabric Storage Box, Medium, Dark Grey",B081FHW8P7.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/c6/c695140f.jpg,61pkWEzEMBL
28,B00CIOBTEC,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Silver,Metal,"Sterling Silver Round Disc Initial""H"" Pendant Necklace, 18.64""",B00CIOBTEC.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/0e/0ecfd093.jpg,61dRCNsqu1L
29,B07QWZBX6L,Movian,Table,TABLE,White,Spanholz,"Movian Segre Coffee Table 70 x 70 x 29 cm (L x D x H), White",B07QWZBX6L.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/39/399b5a3e.jpg,91+GcNcOacL
30,B00FXW7W1A,Amazon Collection,Finering,FINERING,Platinum Plated Silver,metal,"Platinum-Plated Sterling Silver Princess-Cut 5-Stone Ring made with Swarovski Zirconia (2 cttw), Size 8",B00FXW7W1A.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/37/37683065.jpg,71lm5OdfbyL
31,B07GDSF3MR,Rivet,Table,TABLE,Walnut,"MDF with walnut veneer,beech solid wood","Amazon Brand - Rivet Round Coffee Table with Solid Wood Legs, 80 x 80 x 36cm, MDF with Walnut Veneer/Solid Beech Wood",B07GDSF3MR.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/32/32cd9937.jpg,71Vm3z-SQhL
32,B07S5FS2R5,Movian,Table,TABLE,Roble Y Blanco,Madera,"Marca Amazon - Movian Taro - Mesa de centro, 67 x 67 x 30.5 cm (largo x ancho x alto), roble y blanco",B07S5FS2R5.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/15/15cfbffc.jpg,61EMg+NeoTL
33,B07TQ7PPTM,AmazonBasics,Chair,CHAIR,Nero,finta_pelle,"AmazonBasics - Sedia da ufficio con schienale alto e rotelle, in poliuretano Puresoft a costine, nero",B07TQ7PPTM.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f2/f292fdc8.jpg,71YCInWiz8L
34,B0736T6DCP,AmazonBasics,Kitchen,KITCHEN,zilver,edelstahl,AmazonBasics Stainless Steel Forks (Pack of 12),B0736T6DCP.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/8c/8c076379.jpg,710lCkIY3RL
35,B00933MTOA,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,White,metal,"Sterling Silver Diamond 3 Stone Pendant Necklace (1/4 cttw), 18""",B00933MTOA.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/03/0366c1d6.jpg,71v45ZaFdBL
36,B074KLRCPW,Rivet,Table,TABLE,Gold,glass,"Amazon Brand - Rivet Modern Round Glass and Gold Coffee Table, 36""W, Gold Finish",B074KLRCPW.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/3f/3f8bc565.jpg,815Mr-pGYoL
37,B071VMQM9Y,AmazonBasics,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Black,Steel,"Amazon Basics 9 Legs Support Bed Frame, Strong Support for Box Spring and Mattress Set, King",B071VMQM9Y.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/29/29b8f09c.jpg,7147Z-dH50L
38,B07HSHMVNF,Rivet,Rug,RUG,Unknown Color,Wool,"Amazon Brand - Rivet Modern Moroccan Inspired Area Rug, 4 x 6 Foot, Multicolor Red Accent",B07HSHMVNF.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/7a/7a02d286.jpg,91I2LIx7pGL
39,B0792JCVRH,Stone & Beam,Sofa,SOFA,Unknown Color,stone,Amazon Brand - Stone & Beam Westport Modern Nailhead Seating Collection,B0792JCVRH.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/4a/4a8a5689.jpg,81iw9DDmqwL
40,B0014CJ270,Pinzon by Amazon,Home,HOME,Brick,Cotton,"Pinzon Luxury 820-Gram Cotton Hand Towel, Brick",B0014CJ270.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/cf/cf484568.jpg,912MGyxetYS
41,B073HTLF3F,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Gold,Premium Material,18,B073HTLF3F.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/3e/3ed4a3f7.jpg,71X4IR+92hL
42,B0154ASID6,AmazonBasics,Home Bed And Bath,HOME_BED_AND_BATH,Bright White,Microfiber,"AmazonBasics Lightweight Super Soft Easy Care Microfiber Sheet Set with 16"" Deep Pockets - Queen, Bright White",B0154ASID6.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/48/483c2b15.jpg,61z+CPrjvdL
43,B082VLJR5V,Stone & Beam,Chair,CHAIR,Cream,Leather,"Amazon Brand - Stone & Beam Rosewood Button-Tufted Upholstered Wingback Accent Chair, 30""W, Cream",B082VLJR5V.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/a0/a0679e46.jpg,91ZriYVqeJL
44,B07QBRGHB6,Amazon Basics,Rug,RUG,Grey,Polypropylene,"Amazon Basics Modern Plush Standard-Pile Shag Area Rug - 6x9 (5'11"" x 8'10""), Grey",B07QBRGHB6.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/41/41a0b043.jpg,91UmB9bMIWL
45,B084JPCTHT,AmazonBasics,Chair,CHAIR,Brick Red,Textile,"AmazonBasics Classic Adjustable Office Desk Chair - Twill Fabric, Brick Red, BIFMA Certified (Renewed)",B084JPCTHT.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/e5/e5b35e04.jpg,813Ih5T95VL
46,B08DKL6N42,UMI,Home,HOME,Light Grey,Polyester,[Amazon] Umi.() 4 (4),B08DKL6N42.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f9/f94e490a.jpg,51N8KiDwjVL
47,B06WLLGS6S,Amazon Collection,Fineearring,FINEEARRING,Avril.,Non applicable.,"Boucles d'oreilles a tige en argent sterling plaque platine avec pierres de naissance en forme de cur et zircones Swarovski,Avril.",B06WLLGS6S.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b6/b6cb5c36.jpg,71nnd-9VOwL
48,B07H2XRLS1,Amazon Brand - Solimo,Kitchen,KITCHEN,Brown,Copper,"Amazon Brand - Solimo Amazon Brand Set of 2 Copper Water Bottles (Plain, 700ml)",B07H2XRLS1.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/32/323b8643.jpg,71UCvyjE60L
49,B00L7PIU04,Amazon Collection,Fineearring,FINEEARRING,Silver,white-gold,10k White Gold Garnet and Diamond Accent Heart Drop Earrings,B00L7PIU04.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/58/58fd31c2.jpg,71i3d23VLGL
50,B07BWMQLS9,Rivet,Sofa,SOFA,Charcoal,Leather,"Amazon Brand - Rivet Edgewest Modern Left-Facing U-Shape Sectional, Leather, 117""W, Charcoal",B07BWMQLS9.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/9d/9d973499.jpg,71AfsL90tjL
51,B06XG3DLV5,Pinzon by Amazon,Home Bed And Bath,HOME_BED_AND_BATH,Cream/Blue Stripe Plaid,100% Cotton,"Pinzon 160 Gram Plaid Flannel Cotton Bed Sheet Set, Full, Cream / Blue Stripe Plaid",B06XG3DLV5.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/26/26f3149a.jpg,81g-6FhM7AL
52,B074KN35MV,Rivet,Table,TABLE,Gold,glass,"Amazon Brand - Rivet Geometric Modern Glass and Metal Side End Table Stand, 15.6"" W, Gold Finish",B074KN35MV.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/d7/d77a3a50.jpg,81MFfm-8lXL
53,B01DA8QZFM,Vida Designs,Table,TABLE,Pine,Pine,"Amazon Brand - Movian Corona Console Table, 2 Drawer With Shelf, Solid Pine Wood, 70 x 83 x 31 cm",B01DA8QZFM.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/48/486019d0.jpg,81+G4R00bRL
54,B08BVNDMCP,Amazon Brand Solimo,Kitchen,KITCHEN,White,Ceramic,"Amazon Brand - Solimo Dinnerware Set, 14 Pieces",B08BVNDMCP.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ea/eacc07e0.jpg,91MauGEQKUL
55,B0846BXPYM,Stanton,Shoes,SHOES,Black,Polyurethane,Stanton Men's Black Loafers-10 UK (44 EU) (11 US) (FK/DD-7/BLK),B0846BXPYM.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f4/f4143870.jpg,71uUbQNZJ7L
56,B07K7LVGKG,Alkove,Table,TABLE,Natural,Eiche,Amazon Brand - Alkove - Hayes - Modern Coffee Table with Shelf - Wild Oak,B07K7LVGKG.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/c0/c0e0095b.jpg,51WnzWJJUFL
57,B084ZZVJ9Y,Amazon Brand - Solimo,Cellular Phone Case,CELLULAR_PHONE_CASE,Multicolor,Plastic,Amazon Brand - Solimo Designer Dark Flowers Photography 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy M31,B084ZZVJ9Y.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/d5/d5f9a3ec.jpg,71WUeUM5vNL
58,B073P5FLZP,Rivet,Wall Art,WALL_ART,Multi,Wood,"Amazon Brand - Rivet Pineapple Speck Print Wall Art in White Wood Frame, 12"" x 12""",B073P5FLZP.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/5a/5a3584c9.jpg,91ZB-8rwErL
59,B081FGFK31,Amazon Brand - Solimo,Home,HOME,Medical Blue and Royal Blue,Fabric,"Amazon Brand - Solimo Fabric Storage Box with Lid, Small, Medical Blue and Royal Blue",B081FGFK31.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b0/b0a24931.jpg,61KkWQ1gtLL
60,B00FRIJ9E8,Amazon Collection,Fineearring,FINEEARRING,Platinum-Plated,metal,Platinum Plated Sterling Silver Heart-Shape Stud Earrings made with Swarovski Zirconia,B00FRIJ9E8.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/dd/ddbe0761.jpg,61plvlmQxuL
61,B07DJ8WC6T,Amazon Brand - Symbol,Shoes,SHOES,Navy,Canvas,Amazon Brand - Symbol Men's Navy Sneakers-8 UK (AZ-SH-03F),B07DJ8WC6T.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/da/da706ce9.jpg,81zJuV7BU8L
