product_id,ProductType,Brand,Material,ProductTitle,Image,prompt_text,hit,rank,retrieved_ids
20,FINERING,Amazon Collection,rhodium-plated-gold-and-silver,"Tri-Tone Sterling Silver Cubic Zirconia All-Around Band Stacking Ring Set (Set of 3), Size 8",B00MCK2SQ0.jpg,"a photo of a Tri-Tone Sterling Silver Cubic Zirconia All-Around Band Stacking Ring Set (Set of 3), Size 8",0,-1,5132_img|4710_img|1621_img|1868_img|1551_img|199_img|3127_img|2142_img|1644_img|5418_img|3110_img|2136_img|435_img|1352_img|5347_img|1110_img|1643_img|2957_img|3754_img|3075_img
27,HOME,Amazon Brand - Solimo,Fabric,"Amazon Brand - Solimo Fabric Storage Box, Medium, Dark Grey",B081FHW8P7.jpg,"a photo of a Amazon Brand - Solimo Fabric Storage Box, Medium, Dark Grey",1,0,27_img|4100_img|2526_img|1406_img|532_img|5253_img|2462_img|1936_img|5049_img|5014_img|1030_img|5313_img|5375_img|5532_img|3723_img|230_img|5399_img|4768_img|2796_img|3856_img
33,CHAIR,AmazonBasics,finta_pelle,"AmazonBasics - Sedia da ufficio con schienale alto e rotelle, in poliuretano Puresoft a costine, nero",B07TQ7PPTM.jpg,"a photo of a AmazonBasics - Sedia da ufficio con schienale alto e rotelle, in poliuretano Puresoft a costine, nero",0,-1,2575_img|5315_img|4837_img|5052_img|4657_img|3977_img|648_img|686_img|4294_img|5049_img|2126_img|3426_img|2713_img|4854_img|4840_img|1634_img|4782_img|153_img|477_img|210_img
35,FINENECKLACEBRACELETANKLET,Amazon Collection,metal,"Sterling Silver Diamond 3 Stone Pendant Necklace (1/4 cttw), 18""",B00933MTOA.jpg,"a photo of a Sterling Silver Diamond 3 Stone Pendant Necklace (1/4 cttw), 18""",1,5,5562_img|1944_img|4470_img|5174_img|4101_img|35_img|4050_img|4282_img|2454_img|839_img|4728_img|2529_img|700_img|684_img|5434_img|2439_img|5303_img|1685_img|1603_img|5494_img
36,TABLE,Rivet,glass,"Amazon Brand - Rivet Modern Round Glass and Gold Coffee Table, 36""W, Gold Finish",B074KLRCPW.jpg,"a photo of a Amazon Brand - Rivet Modern Round Glass and Gold Coffee Table, 36""W, Gold Finish",1,2,619_img|775_img|36_img|2774_img|3825_img|133_img|5391_img|572_img|2531_img|4836_img|1486_img|2634_img|1999_img|5332_img|993_img|4545_img|545_img|3110_img|1047_img|192_img
38,RUG,Rivet,Wool,"Amazon Brand - Rivet Modern Moroccan Inspired Area Rug, 4 x 6 Foot, Multicolor Red Accent",B07HSHMVNF.jpg,"a photo of a Amazon Brand - Rivet Modern Moroccan Inspired Area Rug, 4 x 6 Foot, Multicolor Red Accent",1,0,38_img|2075_img|2686_img|5362_img|872_img|5161_img|227_img|5015_img|1361_img|178_img|502_img|5370_img|5387_img|3199_img|873_img|2211_img|3526_img|204_img|3830_img|1919_img
50,SOFA,Rivet,Leather,"Amazon Brand - Rivet Edgewest Modern Left-Facing U-Shape Sectional, Leather, 117""W, Charcoal",B07BWMQLS9.jpg,"a photo of a Amazon Brand - Rivet Edgewest Modern Left-Facing U-Shape Sectional, Leather, 117""W, Charcoal",1,2,987_img|2321_img|50_img|201_img|5175_img|3815_img|1499_img|163_img|1188_img|1019_img|729_img|4526_img|4200_img|1585_img|1143_img|1542_img|147_img|1156_img|2859_img|3230_img
51,HOME_BED_AND_BATH,Pinzon by Amazon,100% Cotton,"Pinzon 160 Gram Plaid Flannel Cotton Bed Sheet Set, Full, Cream / Blue Stripe Plaid",B06XG3DLV5.jpg,"a photo of a Pinzon 160 Gram Plaid Flannel Cotton Bed Sheet Set, Full, Cream / Blue Stripe Plaid",1,0,51_img|5045_img|328_img|4762_img|1600_img|1369_img|2077_img|1444_img|189_img|3830_img|2425_img|115_img|5326_img|1004_img|5454_img|5303_img|2655_img|1263_img|298_img|647_img
54,KITCHEN,Amazon Brand Solimo,Ceramic,"Amazon Brand - Solimo Dinnerware Set, 14 Pieces",B08BVNDMCP.jpg,"a photo of a Amazon Brand - Solimo Dinnerware Set, 14 Pieces",1,7,4436_img|312_img|4780_img|5285_img|247_img|5147_img|5235_img|54_img|5560_img|4040_img|1019_img|4526_img|860_img|1546_img|729_img|1766_img|2167_img|1694_img|4203_img|4222_img
58,WALL_ART,Rivet,Wood,"Amazon Brand - Rivet Pineapple Speck Print Wall Art in White Wood Frame, 12"" x 12""",B073P5FLZP.jpg,"a photo of a Amazon Brand - Rivet Pineapple Speck Print Wall Art in White Wood Frame, 12"" x 12""",1,0,58_img|5382_img|2436_img|578_img|5289_img|5503_img|3222_img|4609_img|1329_img|1833_img|2516_img|3063_img|1004_img|1292_img|3696_img|2737_img|3012_img|2650_img|2633_img|761_img
60,FINEEARRING,Amazon Collection,metal,Platinum Plated Sterling Silver Heart-Shape Stud Earrings made with Swarovski Zirconia,B00FRIJ9E8.jpg,a photo of a Platinum Plated Sterling Silver Heart-Shape Stud Earrings made with Swarovski Zirconia,1,0,60_img|2446_img|5353_img|5388_img|2354_img|2973_img|660_img|5292_img|2368_img|2006_img|1946_img|1957_img|5229_img|1117_img|1930_img|1699_img|2432_img|4463_img|5452_img|2758_img
79,HOME_FURNITURE_AND_DECOR,Amazon Brand - Solimo,Plastic,"Amazon Brand - Solimo 12-inch Wall Clock - Desginer (Silent Movement, Black Frame), SC-1079",B08GL1DVHT.jpg,"a photo of a Amazon Brand - Solimo 12-inch Wall Clock - Desginer (Silent Movement, Black Frame), SC-1079",1,5,1783_img|4300_img|5180_img|4393_img|752_img|79_img|5441_img|4651_img|1917_img|4480_img|621_img|200_img|2224_img|1915_img|4225_img|2448_img|926_img|253_img|2872_img|4286_img
94,CELLULAR_PHONE_CASE,Amazon Brand - Solimo,Plastic,Amazon Brand - Solimo Designer Queen 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy J7 Prime,B0853X7GRS.jpg,a photo of a Amazon Brand - Solimo Designer Queen 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy J7 Prime,1,0,94_img|5561_img|248_img|787_img|4634_img|3095_img|2659_img|4945_img|1590_img|1844_img|4584_img|5133_img|3919_img|631_img|5230_img|235_img|1512_img|274_img|772_img|2355_img
98,SHOES,Solefit,Mesh,Solefit Men's Blue Running Shoes-8 UK (41 EU) (SLFT-1116),B07YF8LKB9.jpg,a photo of a Solefit Men's Blue Running Shoes-8 UK (41 EU) (SLFT-1116),1,1,5143_img|98_img|2260_img|5125_img|1148_img|4072_img|2127_img|5475_img|5314_img|4389_img|4488_img|1539_img|335_img|1781_img|2021_img|855_img|299_img|3217_img|4187_img|5336_img
115,HOME,Pinzon by Amazon,Cotton,"Pinzon 200-Thread Count Percale Printed Kids Butterfly, Full Sheet Set, Dots",B003S3RF1I.jpg,"a photo of a Pinzon 200-Thread Count Percale Printed Kids Butterfly, Full Sheet Set, Dots",1,0,115_img|4244_img|51_img|5326_img|1765_img|139_img|4069_img|2798_img|4792_img|2700_img|1444_img|4025_img|821_img|2077_img|5147_img|873_img|2211_img|2026_img|4762_img|1050_img
133,FINENECKLACEBRACELETANKLET,Amazon Collection,Metal,"18k Yellow Gold Plated Sterling Silver Genuine Citrine and Diamond Accent Filigree Mandala Pendant Necklace, 18""",B00MCK2UT0.jpg,"a photo of a 18k Yellow Gold Plated Sterling Silver Genuine Citrine and Diamond Accent Filigree Mandala Pendant Necklace, 18""",1,0,133_img|1999_img|3046_img|4382_img|566_img|2615_img|4223_img|1934_img|2634_img|985_img|5041_img|1532_img|2419_img|765_img|1603_img|4395_img|3249_img|3260_img|502_img|4878_img
139,HOME,Umi,Polyester,[Amazon] Umi.() 5(1L+2M+2S) T-////,B089DHZVFD.jpg,a photo of a [Amazon] Umi.() 5(1L+2M+2S) T-////,0,-1,1132_img|3216_img|3906_img|4961_img|180_img|4039_img|625_img|3028_img|5314_img|320_img|5442_img|743_img|1828_img|2835_img|2728_img|2478_img|744_img|1701_img|949_img|429_img
